# Int_pr, E_atm_pr, Intstor_pr, R_pr_meas, R_pr_swds, R_pr_mss, R_pr_up, Intcp_cp, E_atm_cp, Intstor_cp, R_cp_meas, R_cp_swds, R_cp_mss, R_cp_up, Intcp_op, E_atm_op, Intstor_op, P_op_gw, R_op_meas, R_op_swds, R_op_mss, R_op_up, Sum_r_up, Init_stor_up, Act_infilcap_up, Tfac_up, E_atm_up, I_up_uz, Fin_stor_up, R_up_meas, R_up_ow, Sum_i_uz, R_meas_uz, Theta_h3_uz, T_alpha_uz, T_atm_uz, Gwl_up_uz, Gwl_low_uz, Theta_eq_uz, Capris_max_uz, P_uz_gw, Theta_uz, Sum_p_gw, R_meas_gw, Sc_gw, H_gw, S_gw_out, D_gw_ow, Gwl, Gwl_sl, Sum_r_swds, R_meas_swds, Sum_r_mss, R_meas_mss, Q_swds_ow, Q_mss_out, Q_mss_ow, So_swds, So_mss, Stor_swds, Stor_mss, Prec_ow, E_atm_ow, Sum_r_ow, Sum_d_ow, Sum_q_ow, Sum_so_ow, R_meas_ow, Q_ow_out, Owl
,,0,,,,,,,0,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,194.1,,,0.206,,,,1.5,0,,,,,,,,0,0,0,0,,,,,,,,,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0,1.5,1.6,194.1,1.541,0,194.1,0,0,0.206,1.500202061,0.041666667,-4.21E-05,1.500202061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001142591,0,0,0,-3.43E-05,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0,1.5,1.6,194.0943423,1.540589816,0.005657707,194.0943423,0.004764567,0,0.206020206,1.500402731,0.041666667,0.004440031,1.500402731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120472852,0,0,0,0.003614186,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0,1.5,1.6,194.0887235,1.540182456,0.005618768,194.0887235,0.004731775,0,0.206040273,1.500602983,0.041666667,0.00432508,1.500602983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117353843,0,0,0,0.003520615,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0,1.5,1.6,194.0831165,1.539775944,0.005607055,194.0831165,0.004721912,0,0.206060298,1.500802813,0.041666667,0.004232277,1.500802813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114835794,0,0,0,0.003445074,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0,1.5,1.6,194.0775212,1.539370289,0.00559524,194.0775212,0.004711962,0,0.206080281,1.501002222,0.041666667,0.004139567,1.501002222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112320263,0,0,0,0.003369608,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0.010959207,1.5,1.6,194.0719378,1.538965489,-0.005375754,194.0719378,-0.004527124,0,0.206100222,1.501203075,0.041666667,-0.004797945,1.501203075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012201299,0,-0.130184242,0,0,0,-0.004271566,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,124.8919024,1,0.164388098,1.5,1.6,194.0663139,1.538557757,-0.064106573,193.9716563,-0.053986555,0,0.206120308,1.501413491,0.041666667,-0.052282248,1.501413491,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183019481,0,-1.418591667,0,0,0,-0.048048334,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,124.8919024,1,0.164388098,1.5,1.6,194.0604223,1.538130613,-0.064088776,193.8713569,-0.053971567,0,0.206141349,1.501623458,0.041666667,-0.052355464,1.501623458,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183019481,0,-1.420578262,0,0,0,-0.048107932,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,124.8919024,1,0.164388098,1.5,1.6,194.0545432,1.537704381,-0.064071016,193.7710398,-0.053956611,0,0.206162346,1.501832976,0.041666667,-0.052428524,1.501832976,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183019481,0,-1.422560614,0,0,0,-0.048167403,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,124.8919024,1,0.164388098,1.5,1.6,194.0486767,1.537279059,-0.064053294,193.670705,-0.053941687,0,0.206183298,1.502042047,0.041666667,-0.052501428,1.502042047,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183019481,0,-1.424538735,0,0,0,-0.048226746,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,124.8919024,1,0.164388098,1.5,1.6,194.0428227,1.536854645,-0.06403561,193.5703526,-0.053926795,0,0.206204205,1.502250671,0.041666667,-0.052574176,1.502250671,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183019481,0,-1.426512634,0,0,0,-0.048285963,1.5
