date,P_atm,Ref.grass,E_pot_OW
1/1/1988 0:00,0,0,0
1/1/1988 1:00,0,0,0
1/1/1988 2:00,0,0,0
1/1/1988 3:00,0,0,0
1/1/1988 4:00,0,0,0
1/1/1988 5:00,0,0,0
1/1/1988 6:00,0,0,0
1/1/1988 7:00,0,0,0
1/1/1988 8:00,0,0.010687023,0.011898266
1/1/1988 9:00,0,0.025954198,0.02889579
1/1/1988 10:00,0,0.048854962,0.054392075
1/1/1988 11:00,0,0.05648855,0.062890837
1/1/1988 12:00,0,0.033587786,0.037394552
1/1/1988 13:00,0.025,0.016793893,0.018697276
1/1/1988 14:00,0.3,0.007633588,0.008498762
1/1/1988 15:00,1.2,0,0
1/1/1988 16:00,1,0,0
1/1/1988 17:00,0.6,0,0
1/1/1988 18:00,1,0,0
1/1/1988 19:00,3.8,0,0
1/1/1988 20:00,0.9,0,0
1/1/1988 21:00,0.025,0,0
1/1/1988 22:00,0,0,0
1/1/1988 23:00,0,0,0
2/1/1988 0:00,0,0,0
2/1/1988 1:00,0,0,0
2/1/1988 2:00,0,0,0
2/1/1988 3:00,0,0,0
2/1/1988 4:00,0,0,0
2/1/1988 5:00,0.4,0,0
2/1/1988 6:00,0.6,0,0
2/1/1988 7:00,0.3,0,0
2/1/1988 8:00,0.1,0.002222222,0.002474084
2/1/1988 9:00,0,0.013333333,0.014844504
2/1/1988 10:00,0,0.022222222,0.02474084
2/1/1988 11:00,0.5,0.015555556,0.017318588
2/1/1988 12:00,2,0.011111111,0.01237042
2/1/1988 13:00,2.2,0.011111111,0.01237042
2/1/1988 14:00,0.3,0.017777778,0.019792672
2/1/1988 15:00,0.025,0.006666667,0.007422252
2/1/1988 16:00,0.025,0,0
2/1/1988 17:00,0.4,0,0
2/1/1988 18:00,0.2,0,0
2/1/1988 19:00,0,0,0
2/1/1988 20:00,0,0,0
2/1/1988 21:00,0,0,0
2/1/1988 22:00,0,0,0
2/1/1988 23:00,0.1,0,0
3/1/1988 0:00,0.8,0,0
3/1/1988 1:00,0.025,0,0
3/1/1988 2:00,0,0,0
3/1/1988 3:00,0,0,0
3/1/1988 4:00,0,0,0
3/1/1988 5:00,0,0,0
3/1/1988 6:00,0.025,0,0
3/1/1988 7:00,0.025,0,0
3/1/1988 8:00,0.025,0.005,0.005566689
3/1/1988 9:00,0,0.016666667,0.01855563
3/1/1988 10:00,0,0.023333333,0.025977882
3/1/1988 11:00,0.1,0.026666667,0.029689008
3/1/1988 12:00,1.2,0.035,0.038966823
3/1/1988 13:00,0.1,0.043333333,0.048244637
3/1/1988 14:00,0,0.046666667,0.051955763
