date,P_atm,Ref.grass,E_pot_OW
1/1/1986 0:00,0,0,0
1/1/1986 1:00,0,0,0
1/1/1986 2:00,0,0,0
1/1/1986 3:00,0,0,0
1/1/1986 4:00,0,0,0
1/1/1986 5:00,0,0,0
1/1/1986 6:00,0,0.010959207,0.012201299
1/1/1986 7:00,0,0.164388098,0.183019481
1/1/1986 8:00,0,0.164388098,0.183019481
1/1/1986 9:00,0,0.164388098,0.183019481
1/1/1986 10:00,0,0.164388098,0.183019481
1/1/1986 11:00,0,0.164388098,0.183019481
1/1/1986 12:00,0,0.164388098,0.183019481
1/1/1986 13:00,0,0.164388098,0.183019481
1/1/1986 14:00,0,0.164388098,0.183019481
1/1/1986 15:00,0,0.164388098,0.183019481
1/1/1986 16:00,0,0.164388098,0.183019481
1/1/1986 17:00,0,0.032877619,0.036603896
1/1/1986 18:00,0,0,0
1/1/1986 19:00,0,0,0
1/1/1986 20:00,0,0,0
1/1/1986 21:00,0,0,0
1/1/1986 22:00,0,0,0
1/1/1986 23:00,0,0,0
1/2/1986 0:00,0,0,0
1/2/1986 1:00,0,0,0
1/2/1986 2:00,0,0,0
1/2/1986 3:00,0,0,0
1/2/1986 4:00,0,0,0
1/2/1986 5:00,0,0,0
1/2/1986 6:00,0,0.014744478,0.016415584
1/2/1986 7:00,0,0.221167169,0.246233766
1/2/1986 8:00,0,0.221167169,0.246233766
1/2/1986 9:00,0,0.221167169,0.246233766
1/2/1986 10:00,0,0.221167169,0.246233766
1/2/1986 11:00,0,0.221167169,0.246233766
1/2/1986 12:00,0,0.221167169,0.246233766
1/2/1986 13:00,0,0.221167169,0.246233766
1/2/1986 14:00,0,0.221167169,0.246233766
1/2/1986 15:00,0,0.221167169,0.246233766
1/2/1986 16:00,0,0.221167169,0.246233766
1/2/1986 17:00,0,0.044233434,0.049246753
1/2/1986 18:00,0,0,0
1/2/1986 19:00,0,0,0
1/2/1986 20:00,0,0,0
1/2/1986 21:00,0,0,0
1/2/1986 22:00,0,0,0
1/2/1986 23:00,0,0,0
1/3/1986 0:00,0,0,0
1/3/1986 1:00,0,0,0
1/3/1986 2:00,0,0,0
1/3/1986 3:00,0,0,0
1/3/1986 4:00,0,0,0
1/3/1986 5:00,0,0,0
1/3/1986 6:00,0,0.00546781,0.00608752
1/3/1986 7:00,0,0.082017161,0.091312804
1/3/1986 8:00,0,0.082017161,0.091312804
1/3/1986 9:00,0,0.082017161,0.091312804
1/3/1986 10:00,0,0.082017161,0.091312804
1/3/1986 11:00,0,0.082017161,0.091312804
1/3/1986 12:00,0,0.082017161,0.091312804
