date,P_atm,Ref.grass,E_pot_OW
1/1/1981 0:00,0,0,0
1/1/1981 1:00,0,0,0
1/1/1981 2:00,0,0,0
1/1/1981 3:00,0,0,0
1/1/1981 4:00,0,0,0
1/1/1981 5:00,0,0,0
1/1/1981 6:00,0,0.008468742,0.009428571
1/1/1981 7:00,0,0.127031142,0.141428571
1/1/1981 8:00,0,0.127031142,0.141428571
1/1/1981 9:00,0,0.127031142,0.141428571
1/1/1981 10:00,0,0.127031142,0.141428571
1/1/1981 11:00,0,0.127031142,0.141428571
1/1/1981 12:00,0,0.127031142,0.141428571
1/1/1981 13:00,0,0.127031142,0.141428571
1/1/1981 14:00,0,0.127031142,0.141428571
1/1/1981 15:00,0,0.127031142,0.141428571
1/1/1981 16:00,0,0.127031142,0.141428571
1/1/1981 17:00,0,0.025406228,0.028285714
1/1/1981 18:00,0,0,0
1/1/1981 19:00,0,0,0
1/1/1981 20:00,0,0,0
1/1/1981 21:00,0,0,0
1/1/1981 22:00,0,0,0
1/1/1981 23:00,0,0,0
1/2/1981 0:00,0,0,0
1/2/1981 1:00,0,0,0
1/2/1981 2:00,0,0,0
1/2/1981 3:00,0,0,0
1/2/1981 4:00,0,0,0
1/2/1981 5:00,0,0,0
1/2/1981 6:00,0,0.008468742,0.009428571
1/2/1981 7:00,0,0.127031142,0.141428571
1/2/1981 8:00,0,0.127031142,0.141428571
1/2/1981 9:00,0,0.127031142,0.141428571
1/2/1981 10:00,0,0.127031142,0.141428571
1/2/1981 11:00,0,0.127031142,0.141428571
1/2/1981 12:00,0,0.127031142,0.141428571
1/2/1981 13:00,0,0.127031142,0.141428571
1/2/1981 14:00,0,0.127031142,0.141428571
1/2/1981 15:00,0,0.127031142,0.141428571
1/2/1981 16:00,0,0.127031142,0.141428571
1/2/1981 17:00,0,0.025406228,0.028285714
1/2/1981 18:00,0,0,0
1/2/1981 19:00,0,0,0
1/2/1981 20:00,0,0,0
1/2/1981 21:00,0,0,0
1/2/1981 22:00,0,0,0
1/2/1981 23:00,0,0,0
1/3/1981 0:00,0,0,0
1/3/1981 1:00,0,0,0
1/3/1981 2:00,0,0,0
1/3/1981 3:00,0,0,0
1/3/1981 4:00,0,0,0
1/3/1981 5:00,0,0,0
1/3/1981 6:00,0,0.004972855,0.005536467
1/3/1981 7:00,0,0.074592817,0.083047002
1/3/1981 8:00,0,0.074592817,0.083047002
1/3/1981 9:00,0,0.074592817,0.083047002
1/3/1981 10:00,0,0.074592817,0.083047002
1/3/1981 11:00,0,0.074592817,0.083047002
1/3/1981 12:00,0,0.074592817,0.083047002
1/3/1981 13:00,0,0.074592817,0.083047002
1/3/1981 14:00,0,0.074592817,0.083047002
1/3/1981 15:00,0,0.074592817,0.083047002
1/3/1981 16:00,0,0.074592817,0.083047002
1/3/1981 17:00,0,0.016161777,0.017993517
1/3/1981 18:00,0,0,0
1/3/1981 19:00,0,0,0
1/3/1981 20:00,0,0,0
1/3/1981 21:00,0,0,0
