theta_rz_0,theta_rz_1,theta_rz_2,theta_rz_3,theta_rz_4,theta_rz_5,theta_rz_6,theta_rz_7,theta_rz_8,theta_rz_9
194.1,194.1,194.1,194.1,194.1,172.6,29.4,194.1,194.1,194.1
194.1,194.1,194.1,194.1,194.1,172.6,29.4,194.1,194.1,194.1
194.0943423,194.0943423,194.0943423,194.0943423,194.0943423,172.5960808,29.39646574,194.0943423,194.0943423,194.0943423
194.0887235,194.0887235,194.0887235,194.0887235,194.0887235,172.5921869,29.39294913,194.0887235,194.0887235,194.0887235
194.0831165,194.0831165,194.0831165,194.0831165,194.0831165,172.5883053,29.38943957,194.0831165,194.0831165,194.0831165
194.0775212,194.0775212,194.0775212,194.0775212,194.0775212,172.584436,29.38593707,194.0775212,194.0775212,194.0775212
194.0719378,194.0719378,194.0719378,194.0719378,194.0719378,172.5805788,29.38244162,194.0719378,194.0719378,194.0719378
193.9716563,193.9716563,193.9716563,193.9716563,193.9716563,172.4544686,29.2573521,193.9716563,193.9716563,193.9716563
193.8713569,193.8713569,193.8713569,193.8713569,193.8713569,172.3283419,29.13224237,193.8713569,193.8713569,193.8713569
193.7710398,193.7710398,193.7710398,193.7710398,193.7710398,172.2021986,29.00711247,193.7710398,193.7710398,193.7710398
193.670705,193.670705,193.670705,193.670705,193.670705,172.0760389,28.88196243,193.670705,193.670705,193.670705
193.5703526,193.5703526,193.5703526,193.5703526,193.5703526,171.9498629,28.7567923,193.5703526,193.5703526,193.5703526
193.4699824,193.4699824,193.4699824,193.4699824,193.4699824,171.8236705,28.63160212,193.4699824,193.4699824,193.4699824
193.3695947,193.3695947,193.3695947,193.3695947,193.3695947,171.6974618,28.50639193,193.3695947,193.3695947,193.3695947
193.2691894,193.2691894,193.2691894,193.2691894,193.2691894,171.5712368,28.38116177,193.2691894,193.2691894,193.2691894
193.1687665,193.1687665,193.1687665,193.1687665,193.1687665,171.4449957,28.25591169,193.1687665,193.1687665,193.1687665
193.0683262,193.0683262,193.0683262,193.0683262,193.0683262,171.3187385,28.13064171,193.0683262,193.0683262,193.0683262
193.0993789,193.0993789,193.0993789,193.0993789,193.0993789,171.3239756,28.13686236,193.0993789,193.0993789,193.0993789
193.1632917,193.1632917,193.1632917,193.1632917,193.1632917,171.3620743,28.17594083,193.1632917,193.1632917,193.1632917
193.2271872,193.2271872,193.2271872,193.2271872,193.2271872,171.4001571,28.21499953,193.2271872,193.2271872,193.2271872
193.2910654,193.2910654,193.2910654,193.2910654,193.2910654,171.4382239,28.2540385,193.2910654,193.2910654,193.2910654
193.3549262,193.3549262,193.3549262,193.3549262,193.3549262,171.4762749,28.29305779,193.3549262,193.3549262,193.3549262
193.4187698,193.4187698,193.4187698,193.4187698,193.4187698,171.51431,28.33205742,193.4187698,193.4187698,193.4187698
193.4825961,193.4825961,193.4825961,193.4825961,193.4825961,171.5523293,28.37103746,193.4825961,193.4825961,193.4825961
193.5464052,193.5464052,193.5464052,193.5464052,193.5464052,171.590333,28.40999792,193.5464052,193.5464052,193.5464052
193.6101972,193.6101972,193.6101972,193.6101972,193.6101972,171.6283209,28.44893886,193.6101972,193.6101972,193.6101972
193.673972,193.673972,193.673972,193.673972,193.673972,171.6662932,28.48786031,193.673972,193.673972,193.673972
193.7377297,193.7377297,193.7377297,193.7377297,193.7377297,171.7042499,28.52676231,193.7377297,193.7377297,193.7377297
193.8014704,193.8014704,193.8014704,193.8014704,193.8014704,171.7421911,28.5656449,193.8014704,193.8014704,193.8014704
193.8651941,193.8651941,193.8651941,193.8651941,193.8651941,171.7801168,28.60450812,193.8651941,193.8651941,193.8651941
193.9141563,193.9141563,193.9141563,193.9141563,193.9141563,171.8032826,28.62860754,193.9141563,193.9141563,193.9141563
193.7566789,193.7566789,193.7566789,193.7566789,193.7566789,171.6200104,28.44626498,193.7566789,193.7566789,193.7566789
193.5991845,193.5991845,193.5991845,193.5991845,193.5991845,171.4367228,28.26390316,193.5991845,193.5991845,193.5991845
193.4416733,193.4416733,193.4416733,193.4416733,193.4416733,171.2534199,28.08152213,193.4416733,193.4416733,193.4416733
193.2841453,193.2841453,193.2841453,193.2841453,193.2841453,171.0701017,27.89912193,193.2841453,193.2841453,193.2841453
193.1266004,193.1266004,193.1266004,193.1266004,193.1266004,170.8867684,27.7167026,193.1266004,193.1266004,193.1266004
192.9690388,192.9690388,192.9690388,192.9690388,192.9690388,170.70342,27.53426416,192.9690388,192.9690388,192.9690388
192.8114605,192.8114605,192.8114605,192.8114605,192.8114605,170.5200564,27.35180668,192.8114605,192.8114605,192.8114605
192.6538654,192.6538654,192.6538654,192.6538654,192.6538654,170.3366778,27.16933017,192.6538654,192.6538654,192.6538654
192.4962537,192.4962537,192.4962537,192.4962537,192.4962537,170.1532842,26.98683469,192.4962537,192.4962537,192.4962537
192.3386254,192.3386254,192.3386254,192.3386254,192.3386254,169.9698756,26.80432026,192.3386254,192.3386254,192.3386254
192.3579142,192.3579142,192.3579142,192.3579142,192.3579142,169.9633859,26.79872067,192.3579142,192.3579142,192.3579142
192.4214199,192.4214199,192.4214199,192.4214199,192.4214199,170.0011148,26.83733564,192.4214199,192.4214199,192.4214199
192.4849091,192.4849091,192.4849091,192.4849091,192.4849091,170.0388288,26.87593179,192.4849091,192.4849091,192.4849091
192.5483818,192.5483818,192.5483818,192.5483818,192.5483818,170.0765281,26.91450916,192.5483818,192.5483818,192.5483818
192.611838,192.611838,192.611838,192.611838,192.611838,170.1142126,26.95306777,192.611838,192.611838,192.611838
192.6752779,192.6752779,192.6752779,192.6752779,192.6752779,170.1518825,26.99160767,192.6752779,192.6752779,192.6752779
192.7387013,192.7387013,192.7387013,192.7387013,192.7387013,170.1895378,27.0301289,192.7387013,192.7387013,192.7387013
192.8021084,192.8021084,192.8021084,192.8021084,192.8021084,170.2271785,27.06863149,192.8021084,192.8021084,192.8021084
192.8654993,192.8654993,192.8654993,192.8654993,192.8654993,170.2648046,27.10711549,192.8654993,192.8654993,192.8654993
192.9288738,192.9288738,192.9288738,192.9288738,192.9288738,170.3024163,27.14558092,192.9288738,192.9288738,192.9288738
192.9922321,192.9922321,192.9922321,192.9922321,192.9922321,170.3400135,27.18402783,192.9922321,192.9922321,192.9922321
193.0555741,193.0555741,193.0555741,193.0555741,193.0555741,170.3775963,27.22245626,193.0555741,193.0555741,193.0555741
193.1189001,193.1189001,193.1189001,193.1189001,193.1189001,170.4151648,27.26086624,193.1189001,193.1189001,193.1189001
193.176742,193.176742,193.176742,193.176742,193.176742,170.4472511,27.29379,193.176742,193.176742,193.176742
193.1580185,193.1580185,193.1580185,193.1580185,193.1580185,170.4027738,27.25014603,193.1580185,193.1580185,193.1580185
193.139279,193.139279,193.139279,193.139279,193.139279,170.3582823,27.20648373,193.139279,193.139279,193.139279
193.1205234,193.1205234,193.1205234,193.1205234,193.1205234,170.3137767,27.16280313,193.1205234,193.1205234,193.1205234
193.1017518,193.1017518,193.1017518,193.1017518,193.1017518,170.2692569,27.11910427,193.1017518,193.1017518,193.1017518
193.0829642,193.0829642,193.0829642,193.0829642,193.0829642,170.224723,27.07538719,193.0829642,193.0829642,193.0829642
193.0641607,193.0641607,193.0641607,193.0641607,193.0641607,170.1801751,27.03165192,193.0641607,193.0641607,193.0641607
193.0453413,193.0453413,193.0453413,193.0453413,193.0453413,170.1356132,26.98789849,193.0453413,193.0453413,193.0453413
193.026506,193.026506,193.026506,193.026506,193.026506,170.0910374,26.94412695,193.026506,193.026506,193.026506
193.0076549,193.0076549,193.0076549,193.0076549,193.0076549,170.0464476,26.90033734,193.0076549,193.0076549,193.0076549
192.988788,192.988788,192.988788,192.988788,192.988788,170.001844,26.85652968,192.988788,192.988788,192.988788
193.0341521,193.0341521,193.0341521,193.0341521,193.0341521,170.0214733,26.8769508,193.0341521,193.0341521,193.0341521
193.0972709,193.0972709,193.0972709,193.0972709,193.0972709,170.0588592,26.91512433,193.0972709,193.0972709,193.0972709
193.1603739,193.1603739,193.1603739,193.1603739,193.1603739,170.0962314,26.95327993,193.1603739,193.1603739,193.1603739
193.2234613,193.2234613,193.2234613,193.2234613,193.2234613,170.1335899,26.99141764,193.2234613,193.2234613,193.2234613
193.2865331,193.2865331,193.2865331,193.2865331,193.2865331,170.1709348,27.02953749,193.2865331,193.2865331,193.2865331
193.3495892,193.3495892,193.3495892,193.3495892,193.3495892,170.208266,27.06763951,193.3495892,193.3495892,193.3495892
193.4126298,193.4126298,193.4126298,193.4126298,193.4126298,170.2455837,27.10572375,193.4126298,193.4126298,193.4126298
193.4756549,193.4756549,193.4756549,193.4756549,193.4756549,170.2828878,27.14379023,193.4756549,193.4756549,193.4756549
193.5386644,193.5386644,193.5386644,193.5386644,193.5386644,170.3201785,27.181839,193.5386644,193.5386644,193.5386644
193.6016585,193.6016585,193.6016585,193.6016585,193.6016585,170.3574558,27.2198701,193.6016585,193.6016585,193.6016585
193.6646372,193.6646372,193.6646372,193.6646372,193.6646372,170.3947196,27.25788355,193.6646372,193.6646372,193.6646372
193.6878325,193.6878325,193.6878325,193.6878325,193.6878325,170.4319701,27.29587939,193.6878325,193.6878325,193.6878325
193.6829321,193.6829321,193.6829321,193.6829321,193.6829321,170.4692073,27.33385765,193.6829321,193.6829321,193.6829321
193.6781748,193.6781748,193.6781748,193.6781748,193.6781748,170.5023303,27.36771753,193.6781748,193.6781748,193.6781748
193.6590773,193.6590773,193.6590773,193.6590773,193.6590773,170.4575238,27.3236436,193.6590773,193.6590773,193.6590773
193.6399646,193.6399646,193.6399646,193.6399646,193.6399646,170.4127042,27.2795522,193.6399646,193.6399646,193.6399646
193.6633018,193.6633018,193.6633018,193.6208366,194.2792283,172.3142426,29.13074404,193.6633018,193.6208366,193.6633018
193.6675356,193.6675356,193.6675356,193.6016934,195.6792278,172.3447255,29.12795775,193.6675356,193.6016934,193.6675356
193.6718515,193.6718515,193.6718515,193.582535,199.6149488,172.3752083,29.13067161,193.6718515,193.582535,193.6718515
193.6761587,193.6761587,193.6761587,193.5633616,197.4644398,172.4056912,29.13336397,193.6761587,193.5633616,193.6761587
193.6804577,193.6744448,193.6804577,193.5441731,195.3139829,172.436174,29.13605124,193.6804577,193.5441731,193.6804577
193.6847484,193.6727628,193.6847484,193.5249695,193.7064061,172.4666568,29.13873339,193.6847484,193.5249695,193.6847484
