,Date,P_atm,Baseline,50,100,200,300,400,500,1000
0,1/1/1988 0:00,0,,,,,,,,
1,1/1/1988 1:00,0,0,0,0,0,0,0,0,0
2,1/1/1988 2:00,0,0,0,0,0,0,0,0,0
3,1/1/1988 3:00,0,0,0,0,0,0,0,0,0
4,1/1/1988 4:00,0,0,0,0,0,0,0,0,0
5,1/1/1988 5:00,0,0,0,0,0,0,0,0,0
6,1/1/1988 6:00,0,0,0,0,0,0,0,0,0
7,1/1/1988 7:00,0,0,0,0,0,0,0,0,0
8,1/1/1988 8:00,0,0,0,0,0,0,0,0,0
9,1/1/1988 9:00,0,0,0,0,0,0,0,0,0
10,1/1/1988 10:00,0,0,0,0,0,0,0,0,0
11,1/1/1988 11:00,0,0,0,0,0,0,0,0,0
12,1/1/1988 12:00,0,0,0,0,0,0,0,0,0
13,1/1/1988 13:00,0.025,0,0,0,0,0,0,0,0
14,1/1/1988 14:00,0.3,0,0,0,0,0,0,0,0
15,1/1/1988 15:00,1.2,0,0,0,0,0,0,0,0
16,1/1/1988 16:00,1,0.897803962,0,0,0,0,0,0,0
17,1/1/1988 17:00,0.6,0.6,0,0,0,0,0,0,0
18,1/1/1988 18:00,1,1,0,0,0,0,0,0,0
19,1/1/1988 19:00,3.8,3.8,1.343974514,0,0,0,0,0,0
20,1/1/1988 20:00,0.9,0.9,0.795833333,0,0,0,0,0,0
21,1/1/1988 21:00,0.025,0.025,0,0,0,0,0,0,0
22,1/1/1988 22:00,0,0,0,0,0,0,0,0,0
23,1/1/1988 23:00,0,0,0,0,0,0,0,0,0
24,1/2/1988 0:00,0,0,0,0,0,0,0,0,0
25,1/2/1988 1:00,0,0,0,0,0,0,0,0,0
26,1/2/1988 2:00,0,0,0,0,0,0,0,0,0
27,1/2/1988 3:00,0,0,0,0,0,0,0,0,0
28,1/2/1988 4:00,0,0,0,0,0,0,0,0,0
29,1/2/1988 5:00,0.4,0.4,0,0,0,0,0,0,0
30,1/2/1988 6:00,0.6,0.6,0.063108559,0,0,0,0,0,0
31,1/2/1988 7:00,0.3,0.3,0.195833333,0,0,0,0,0,0
32,1/2/1988 8:00,0.1,0.1,0,0,0,0,0,0,0
33,1/2/1988 9:00,0,3.64E-17,0,0,0,0,0,0,0
34,1/2/1988 10:00,0,0,0,0,0,0,0,0,0
35,1/2/1988 11:00,0.5,0.457940572,0.148122034,0,0,0,0,0,0
36,1/2/1988 12:00,2,1.982681412,1.878550826,0,0,0,0,0,0
37,1/2/1988 13:00,2.2,2.18762958,2.083488685,0.768417005,0,0,0,0,0
38,1/2/1988 14:00,0.3,0.28762958,0.183488685,0.079322018,0,0,0,0,0
39,1/2/1988 15:00,0.025,0.005207328,0,0,0,0,0,0,0
40,1/2/1988 16:00,0.025,0.017577748,0,0,0,0,0,0,0
41,1/2/1988 17:00,0.4,0.4,0.116224042,0,0,0,0,0,0
42,1/2/1988 18:00,0.2,0.2,0.095833333,0,0,0,0,0,0
43,1/2/1988 19:00,0,0,0,0,0,0,0,0,0
44,1/2/1988 20:00,0,0,0,0,0,0,0,0,0
45,1/2/1988 21:00,0,0,0,0,0,0,0,0,0
46,1/2/1988 22:00,0,0,0,0,0,0,0,0,0
47,1/2/1988 23:00,0.1,0.1,0,0,0,0,0,0,0
48,1/3/1988 0:00,0.8,0.8,0.304578537,0,0,0,0,0,0
49,1/3/1988 1:00,0.025,0.025,0,0,0,0,0,0,0
50,1/3/1988 2:00,0,0,0,0,0,0,0,0,0
51,1/3/1988 3:00,0,0,0,0,0,0,0,0,0
52,1/3/1988 4:00,0,0,0,0,0,0,0,0,0
53,1/3/1988 5:00,0,0,0,0,0,0,0,0,0
54,1/3/1988 6:00,0.025,0.025,0,0,0,0,0,0,0
55,1/3/1988 7:00,0.025,0.025,0,0,0,0,0,0,0
56,1/3/1988 8:00,0.025,0.025,0,0,0,0,0,0,0
57,1/3/1988 9:00,0,4.51E-17,0,0,0,0,0,0,0
58,1/3/1988 10:00,0,6.25E-17,0,0,0,0,0,0,0
59,1/3/1988 11:00,0.1,0.049899799,0,0,0,0,0,0,0
60,1/3/1988 12:00,1.2,1.170310992,0.190476218,0,0,0,0,0,0
61,1/3/1988 13:00,0.1,0.061033177,0,0,0,0,0,0,0
62,1/3/1988 14:00,0,4.86E-17,0,0,0,0,0,0,0
63,1/3/1988 15:00,0.025,1.01E-16,0,0,0,0,0,0,0
64,1/3/1988 16:00,0,0,0,0,0,0,0,0,0
65,1/3/1988 17:00,0,0,0,0,0,0,0,0,0
