date,P_atm,E_pot_OW,Ref.grass
1/1/1990 0:00,0,0,0
1/1/1990 1:00,0,0,0
1/1/1990 2:00,0,0,0
1/1/1990 3:00,0,0,0
1/1/1990 4:00,0,0,0
1/1/1990 5:00,0,0,0
1/1/1990 6:00,0,0,0
1/1/1990 7:00,0,0,0
1/1/1990 8:00,0,0,0
1/1/1990 9:00,0,0.118883761,0.106777346
1/1/1990 10:00,0,0,0
1/1/1990 11:00,0,0,0
1/1/1990 12:00,0,0.241456469,0.216867978
1/1/1990 13:00,0,0,0
1/1/1990 14:00,0,0,0
1/1/1990 15:00,0,0.081123722,0.072862564
1/1/1990 16:00,0,0,0
1/1/1990 17:00,0,0,0
1/1/1990 18:00,0,0,0
1/1/1990 19:00,0,0,0
1/1/1990 20:00,0,0,0
1/1/1990 21:00,0,0,0
1/1/1990 22:00,0,0,0
1/1/1990 23:00,0,0,0
2/1/1990 0:00,0,0,0
2/1/1990 1:00,0,0,0
2/1/1990 2:00,0,0,0
2/1/1990 3:00,0,0,0
2/1/1990 4:00,0,0,0
2/1/1990 5:00,0,0,0
2/1/1990 6:00,0,0,0
2/1/1990 7:00,0,0,0
2/1/1990 8:00,0,0,0
2/1/1990 9:00,0,0.115768325,0.103979167
2/1/1990 10:00,0,0,0
2/1/1990 11:00,0,0,0
2/1/1990 12:00,0,0.248903344,0.223556507
2/1/1990 13:00,0,0,0
2/1/1990 14:00,0,0,0
2/1/1990 15:00,0,0.147400918,0.132390485
2/1/1990 16:00,0,0,0
2/1/1990 17:00,0,0,0
2/1/1990 18:00,0,0,0
2/1/1990 19:00,0,0,0
2/1/1990 20:00,0,0,0
2/1/1990 21:00,0,0,0
2/1/1990 22:00,0,0,0
2/1/1990 23:00,0,0,0
3/1/1990 0:00,0,0,0
3/1/1990 1:00,0,0,0
3/1/1990 2:00,0,0,0
3/1/1990 3:00,0,0,0
3/1/1990 4:00,0,0,0
3/1/1990 5:00,0,0,0
3/1/1990 6:00,0,0,0
3/1/1990 7:00,0,0,0
3/1/1990 8:00,0,0,0
3/1/1990 9:00,0,0.075969538,0.068233252
3/1/1990 10:00,0,0,0
3/1/1990 11:00,0,0,0
3/1/1990 12:00,0,0.236086005,0.21204441
3/1/1990 13:00,0,0,0
3/1/1990 14:00,0,0,0
3/1/1990 15:00,0,0.050394947,0.045263025
3/1/1990 16:00,0,0,0
3/1/1990 17:00,0,0,0
3/1/1990 18:00,0,0,0
3/1/1990 19:00,0,0,0
3/1/1990 20:00,0,0,0
3/1/1990 21:00,0,0,0
3/1/1990 22:00,0,0,0
3/1/1990 23:00,0,0,0
4/1/1990 0:00,0,0,0
4/1/1990 1:00,0,0,0
4/1/1990 2:00,0,0,0
4/1/1990 3:00,0,0,0
4/1/1990 4:00,0,0,0
4/1/1990 5:00,0,0,0
4/1/1990 6:00,0,0,0
4/1/1990 7:00,0,0,0
4/1/1990 8:00,0,0,0
4/1/1990 9:00,0,0.113573209,0.102007589
4/1/1990 10:00,0,0,0
4/1/1990 11:00,0,0,0
4/1/1990 12:00,0,0.226462291,0.203400718
4/1/1990 13:00,0,0,0
4/1/1990 14:00,0,0,0
4/1/1990 15:00,0,0.128597835,0.115502196
4/1/1990 16:00,0,0,0
4/1/1990 17:00,0,0,0
